"tipo_desafio","desafio","quantidade","percentual","ano"
"Gestão de Dados","0","880","84.21","2024"
"Gestão de Dados","1","165","15.79","2024"
"Adoção de IA","Conhecimento","1","0.1","2024"
"Adoção de IA","que ainda não fizeram uma contratação dos mesmos. Por isso","1","0.1","2024"
"Adoção de IA","Desconheço a resposta","1","0.1","2024"
"Adoção de IA","Sem necessidade","1","0.1","2024"
"Adoção de IA","Não serve pra nada","1","0.1","2024"
"Adoção de IA","utilizamos diversas ferramentas de acordo com o orçamento.","1","0.1","2024"
"Adoção de IA","Custo elevado das soluções","1","0.1","2024"
"Adoção de IA",".","1","0.1","2024"
"Adoção de IA","desenvolvendo produtos","1","0.1","2024"
"Adoção de IA","Acabei de mudar e não sei opinar sobre isso.","1","0.1","2024"
"Adoção de IA","N","1","0.1","2024"
"Adoção de IA","tipo de dados usados para treinar um modelo de terceiros).","123","12.63","2024"
"Adoção de IA","Não sei informar","1","0.1","2024"
"Adoção de IA","Nao querem investir em licenças pagas","1","0.1","2024"
"Adoção de IA","Outras prioridades","1","0.1","2024"
"Adoção de IA","ainda","1","0.1","2024"
"Adoção de IA","Não precisamos 100% do das ferramentas de IA Generativa e LLMs","1","0.1","2024"
"Adoção de IA","se devidamente direcionadas","1","0.1","2024"
"Adoção de IA","Usamos plenamente","1","0.1","2024"
"Adoção de IA","custo","1","0.1","2024"
"Adoção de IA","para nossa empresa","1","0.1","2024"
"Adoção de IA","Não tem impedimento","1","0.1","2024"
"Adoção de IA","Sem impedimentos","1","0.1","2024"
"Adoção de IA","Custo ainda é muito elevado","1","0.1","2024"
"Adoção de IA","Orçamento","1","0.1","2024"
"Adoção de IA","Tamanho da empresa","1","0.1","2024"
"Adoção de IA","Recurso Humano com conhecimento prévio","1","0.1","2024"
"Adoção de IA","Não estou na área de dados","1","0.1","2024"
"Adoção de IA","IA está no nosso dia a dia","1","0.1","2024"
"Adoção de IA","ainda entregam resultados adequados (embora limitados ao escopo)","1","0.1","2024"
"Adoção de IA","Depende do cliente que estamos atendendo","1","0.1","2024"
"Adoção de IA","Não temos este tipo de impedimento","1","0.1","2024"
"Adoção de IA","mas em geral os produtos não estão enchendo os olhos dos clientes","1","0.1","2024"
"Adoção de IA","foi dada aquela freada para se pensar melhor no uso","1","0.1","2024"
"Adoção de IA","não sei opinar sobre","1","0.1","2024"
"Adoção de IA","Burocracias internas","1","0.1","2024"
"Adoção de IA","Falta de pessoas na equipe para dar conta da demanda","1","0.1","2024"
"Adoção de IA","mas não consegue desdobrar as iniciativas/métodos","1","0.1","2024"
"Adoção de IA","Preocupações com segurança e privacidade de dados.","314","32.24","2024"
"Adoção de IA","Estamos criando","1","0.1","2024"
"Adoção de IA","A alta gestão é empolgada","1","0.1","2024"
"Adoção de IA","Nenhuma","1","0.1","2024"
"Adoção de IA","Alta direção da empresa não vê valor ou não vê esse tipo de iniciativa como prioridade.","88","9.03","2024"
"Adoção de IA","Busca sempre por soluções gratuitas. Não investe em soluções pagas como consumo por API.","1","0.1","2024"
"Adoção de IA","Preocupação com aspectos éticos","1","0.1","2024"
"Adoção de IA","Nenhuma das opções. Atualmente é a nossa prioridade no negócio","1","0.1","2024"
"Adoção de IA","Preocupações com propriedade intelectual (ou seja","123","12.63","2024"
"Adoção de IA","Não sei opinar sobre","1","0.1","2024"
"Adoção de IA","Esperar amadurecer","1","0.1","2024"
"Adoção de IA","Falta de compreensão dos casos de uso.","334","34.29","2024"
"Adoção de IA","Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos).","173","17.76","2024"
"Adoção de IA","não sei","2","0.21","2024"
"Adoção de IA","se comparado a técnicas mais simples de NLP que","1","0.1","2024"
"Adoção de IA","dados que somos uma empresa de consultoria e serviços","1","0.1","2024"
"Adoção de IA","Falta de expertise das equipes técnicas ou falta de recursos internos.","328","33.68","2024"
