"indicador","categoria","quantidade","percentual","ano"
"Adoção de IA","Utiliza","2105","60.25","2025"
"Adoção de IA","Não utiliza","1389","39.75","2025"
"Prioridade de IA","Não sei opinar sobre esse assunto.","14","2.15","2025"
"Prioridade de IA","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","240","36.81","2025"
"Prioridade de IA","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","74","11.35","2025"
"Prioridade de IA","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","169","25.92","2025"
"Prioridade de IA","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","155","23.77","2025"
"Resultados / Impacto","Não sei opinar sobre isso.","43","6.66","2025"
"Resultados / Impacto","Em partes. Temos alguns projetos ""piloto"", envolvendo AI Generativa e Modelos LLM, rodando mas sem muitos resultados e impacto no negócio.","248","38.39","2025"
"Resultados / Impacto","Sim. Temos projetos envolvendo AI Generativa e Modelos LLM em produção, gerando resultados e impacto no negócio.","171","26.47","2025"
"Resultados / Impacto","Não. Os projetos envolvendo AI Generativa e Modelos LLM, ainda estão em fase de investigação e planejamento.","97","15.02","2025"
"Resultados / Impacto","Não, ainda não começamos nenhum projeto envolvendo AI Generativa e Modelos LLM.","87","13.47","2025"
"Prioridade de IA","Não sei opinar sobre esse assunto.","29","2.78","2024"
"Prioridade de IA","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","301","28.8","2024"
"Prioridade de IA","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","155","14.83","2024"
"Prioridade de IA","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","235","22.49","2024"
"Adoção de IA","Não utiliza","1598","30.64","2024"
"Adoção de IA","Utiliza","3617","69.36","2024"
"Prioridade de IA","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","325","31.1","2024"
"Prioridade de IA","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","214","23.88","2023"
"Adoção de IA","Não utiliza","1521","28.74","2023"
"Prioridade de IA","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","275","30.69","2023"
"Prioridade de IA","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","110","12.28","2023"
"Prioridade de IA","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","258","28.79","2023"
"Prioridade de IA","Não sei opinar sobre esse assunto.","39","4.35","2023"
"Adoção de IA","Utiliza","3772","71.26","2023"
